Type,Name,Method,Element type,Element ID,Reviewed in,Detail,Procurement,BM_type,Min_num_Fbs,Max_num_Fbs,Fundamental object,Num_Fund_objs,Form,Scale,Nonstructural,Structural,Dynamic,Energetic,Kinetic,Thermo,Quantum_dyn,Evolutionary,Topological,Functional,Complexation,Sidechain,Folded,Rot_inv,Trans_inv,Electrostatic,Hydrophobic,Van der Waals,Hbond,Salt bridge,Pi,Metal,Solvent,Solute,Trapped water,Pocket/void,Fixed_size,Hierarch,Unique,Subset_Unique,Differentiable,Reversible,Guarantee_Valid,Probabilistic,Ref_frames,Graph: Node/edge?,Toxological,Metabolic,Extens,ComputCostly,Lin_comb,AG_layer,AugRatio,Implem,OSI_Avail,License,Docs,Webserver,Comment,Improv,Type,PubYr,Auth,Title,PubTitle,DOI,,,,,,,
Arch,IG-VAE,Immunoglobulin variational autoencoder,,,,Structural,,Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,"Describes that dynamic parts of protein design are very challenging to predict and understand, and design with",,journalArticle,2020,"Eguchi, Raphael R.; Anand, Namrata; Choe, Christian A.; Huang, Po-Ssu",IG-VAE: Generative Modeling of Immunoglobulin Proteins by Direct 3D Coordinate Generation,bioRxiv,10.1101/2020.08.07.242347,,,,,,,
Arch,SMINA_data,Uses docking score as a feature,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/cieplinski-tobiasz/smina-docking-benchmark,,,,,,journalArticle,2020,"Cieplinski, Tobiasz; Danel, Tomasz; Podlewska, Sabina; Jastrzebski, Stanislaw",We Should at Least Be Able to Design Molecules That Dock Well,"arXiv:2006.16955 [cs, q-bio, stat]",,,,,,,,
Arch,Kalasanty,Deep learning model for predicting binding site density,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://gitlab.com/cheminfIBB/kalasanty,,,,,,journalArticle,2020,"Stepniewska-Dziubinska, Marta M.; Zielenkiewicz, Piotr; Siedlecki, Pawel",Improving detection of protein-ligand binding sites with 3D segmentation,Scientific Reports,10.1038/s41598-020-61860-z,,,,,,,
Arch,DeepSurf,Applies a voxelized grid to the protein and used DL to predict binding sites,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/stemylonas/DeepSurf,,,,,,journalArticle,2020,"Mylonas, Stelios K.; Axenopoulos, Apostolos; Daras, Petros",DeepSurf: A surface-based deep learning approach for the prediction of ligand binding sites on proteins,"arXiv:2002.05643 [cs, q-bio]",,,,,,,,
Arch,DeepDocking,Applies 3D-QSAR descriptors and a deep learning framework to dock molecules 50x faster,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/vibudh2209/D2,,,,,,journalArticle,2020,"Gentile, Francesco; Agrawal, Vibudh; Hsing, Michael; Ton, Anh-Tien; Ban, Fuqiang; Norinder, Ulf; Gleave, Martin E.; Cherkasov, Artem",Deep Docking: A Deep Learning Platform for Augmentation of Structure Based Drug Discovery,ACS Central Science,10.1021/acscentsci.0c00229,,,,,,,
Arch,DeepBindPoc,,,,,Structural,,Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/haiping1010/DeepBindPoc,,,,,,journalArticle,2020,"Zhang, Haiping; Saravanan, Konda Mani; Lin, Jinzhi; Liao, Linbu; Ng, Justin Tze-Yang; Zhou, Jiaxiu; Wei, Yanjie",DeepBindPoc: a deep learning method to rank ligand binding pockets using molecular vector representation,PeerJ,10.7717/peerj.8864,,,,,,,
Arch,DeeplyTough,CNN for pocket similarity,,,,Structural,,Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/BenevolentAI/DeeplyTough,,,,,,journalArticle,2020,"Simonovsky, Martin; Meyers, Joshua",DeeplyTough: Learning Structural Comparison of Protein Binding Sites,Journal of Chemical Information and Modeling,10.1021/acs.jcim.9b00554,,,,,,,
Arch,MathDL,Collection of several mathematical representations of biomolecular structurs,,,,Structural,Computational,Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Nguyen, Duc Duy; Gao, Kaifu; Wang, Menglun; Wei, Guo-Wei",MathDL: mathematical deep learning for D3R Grand Challenge 4,Journal of Computer-Aided Molecular Design,10.1007/s10822-019-00237-5,,,,,,,
Arch,Graphein,Protein graphical / geometric deep learning library,,,,Structural,,Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/a-r-j/graphein,,,,,,journalArticle,2020,"Jamasb, Arian R.; Lió, Pietro; Blundell, Tom L.",Graphein - a Python Library for Geometric Deep Learning and Network Analysis on Protein Structures,bioRxiv,10.1101/2020.07.15.204701,,,,,,,
Arch,GNC,Generative network complex for drug discovery,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Grow, Christopher; Gao, Kaifu; Nguyen, Duc Duy; Wei, Guo-Wei",Generative network complex (GNC) for drug discovery,arXiv:1910.14650 [q-bio],,,,,,,,
Arch,E2ESL,End-to-end structural learning,,,,Structural,,Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"AlQuraishi, Mohammed",End-to-End Differentiable Learning of Protein Structure,Cell Systems,10.1016/j.cels.2019.03.006,,,,,,,
Arch,SAA_SC_net,"Shape auto-encoder, shape captioning network",,,,Structural,,Ligand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/compsciencelab/ligdream,,,https://playmolecule.org/LigDream/,,,journalArticle,2019,"Skalic, Miha; Jiménez, José; Sabbadin, Davide; De Fabritiis, Gianni",Shape-Based Generative Modeling for de Novo Drug Design,Journal of Chemical Information and Modeling,10.1021/acs.jcim.8b00706,,,,,,,
Arch,OnionNet,,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Zheng, Liangzhen; Fan, Jingrong; Mu, Yuguang",OnionNet: A Multiple-Layer Intermolecular-Contact-Based Convolutional Neural Network for Protein-Ligand Binding Affinity Prediction,ACS Omega,10.1021/acsomega.9b01997,,,,,,,
Arch,DeepBindRG,,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Zhang, Haiping; Liao, Linbu; Saravanan, Konda Mani; Yin, Peng; Wei, Yanjie",DeepBindRG: a deep learning based method for estimating effective protein–ligand affinity,PeerJ,10.7717/peerj.7362,,,,,,,
Arch,3DGCN,3D graph convolutional NN: graph with 3D coordinates. Includes an interesting graphical feature representation obtained from the network via backpropagation.,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Cho, Hyeoncheol; Choi, Insung S.",Three-Dimensionally Embedded Graph Convolutional Network (3DGCN) for Molecule Interpretation,ChemMedChem,10.1002/cmdc.201900458,,,,,,,
Arch,ClusterNet,,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conferencePaper,2019,"Chen, Chao; Li, Guanbin; Xu, Ruijia; Chen, Tianshui; Wang, Meng; Lin, Liang",ClusterNet: Deep Hierarchical Cluster Network With Rigorously Rotation-Invariant Representation for Point Cloud Analysis,,,,,,,,,
Arch,SASNet,Siamese atomic surfacelet network,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Townshend, Raphael; Bedi, Rishi; Suriana, Patricia; Dror, Ron",End-to-End Learning on 3D Protein Structure for Interface Prediction,Advances in Neural Information Processing Systems,,,,,,,,
Arch,RGN,Recurrent Geometric network. Uses AA sequences and PSSMs to predict protein structure,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"AlQuraishi, Mohammed",End-to-End Differentiable Learning of Protein Structure,Cell Systems,10.1016/j.cels.2019.03.006,,,,,,,
Arch,Protein-VAE,Protein sequence VAE for structural prediction,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/psipred/protein-vae,,,,,,journalArticle,2018,"Greener, Joe G.; Moffat, Lewis; Jones, David T.",Design of metalloproteins and novel protein folds using variational autoencoders,Scientific Reports,10.1038/s41598-018-34533-1,,,,,,,
Arch,KDEEP,,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2018,"Jiménez, José; Škalič, Miha; Martínez-Rosell, Gerard; De Fabritiis, Gianni",KDEEP: Protein–Ligand Absolute Binding Affinity Prediction via 3D-Convolutional Neural Networks,Journal of Chemical Information and Modeling,10.1021/acs.jcim.7b00650,,,,,,,
Arch,TBMDNN,"Topology-based multitask deep neural networks, and ESPH",,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2018,"Wu, Kedi; Wei, Guo-Wei",Quantitative Toxicity Prediction Using Topology Based Multitask Deep Neural Networks,Journal of Chemical Information and Modeling,10.1021/acs.jcim.7b00558,,,,,,,
Arch,,SO-net,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conferencePaper,2018,"Li, Jiaxin; Chen, Ben M.; Lee, Gim Hee",SO-Net: Self-Organizing Network for Point Cloud Analysis,,,,,,,,,
Arch,TopP-S,Partition coefficient and solubility determination using PH,,,,Structural,,Ligand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2018,"Wu, Kedi; Zhao, Zhixiong; Wang, Renxiao; Wei, Guo-Wei",TopP–S: Persistent homology-based multi-task deep neural networks for simultaneous predictions of partition coefficient and aqueous solubility,Journal of Computational Chemistry,https://doi.org/10.1002/jcc.25213,,,,,,,
Arch,DeepSite,Voxel-based 3DCNN method,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Jiménez, J.; Doerr, S; Martínez-Rosell, G.; Rose, A S; De Fabritiis, G",DeepSite: Protein-binding site predictor using 3D-convolutional neural networks,Bioinformatics,10.1093/bioinformatics/btx350,,,,,,,
Arch,,3D CNN for ligand binding,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Ragoza, Matthew; Hochuli, Joshua; Idrobo, Elisa; Sunseri, Jocelyn; Koes, David Ryan",Protein-Ligand Scoring with Convolutional Neural Networks,Journal of Chemical Information and Modeling,10.1021/acs.jcim.6b00740,,,,,,,
Arch,Pafnucy,3D CNN for ligand binding,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Stepniewska-Dziubinska, Marta M.; Zielenkiewicz, Piotr; Siedlecki, Pawel",Development and evaluation of a deep learning model for protein-ligand binding affinity prediction,,10.1093/bioinformatics/bty374/4994792,,,,,,,
Arch,,3D CNN for ligand binding,,,,Structural,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Gomes, Joseph; Ramsundar, Bharath; Feinberg, Evan N.; Pande, Vijay S.",Atomic Convolutional Networks for Predicting Protein-Ligand Binding Affinity,,,,,,,,,
Arch,TopologyNet,,,,,Structural,,Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Cang, Zixuan; Wei, Guo-Wei",TopologyNet: Topology based deep convolutional and multi-task neural networks for biomolecular property predictions,PLOS Computational Biology,10.1371/journal.pcbi.1005690,,,,,,,
Arch,MGC,Molecular graph convolutions,,,,Structural,Computational,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2016,"Kearnes, Steven; McCloskey, Kevin; Berndl, Marc; Pande, Vijay; Riley, Patrick",Molecular graph convolutions: moving beyond fingerprints,Journal of Computer-Aided Molecular Design,10.1007/s10822-016-9938-8,,,,,,,
Arch,GNC,Composite network,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,,"Ingraham, John; Garg, Vikas; Barzilay, Regina; Jaakkola, Tommi",Generative Models for Graph-Based Protein Design,,,,,,,,,
Arch,,Bioisostere replacement,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,,"Ingraham, John; Garg, Vikas; Barzilay, Regina; Jaakkola, Tommi",Generative Models for Graph-Based Protein Design,,,,,,,,,
Arch,GANDALF,,,,,Structural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conferencePaper,2019,"Rossetto, Allison M.; Zhou, Wenjin",GANDALF: A Prototype of a GAN-based Peptide Design Method,"Proceedings of the 10th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",10.1145/3307339.3342183,,,,,,,
Arch,DA,Digital annealer,,,,Structural,Computational,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Snelling, David; Shahane, Ganesh; Shipman, William; Balaeff, Alexander; Pearce, Mark; Keinan, Shahar",A Quantum-Inspired Approach to De-Novo Drug Design,,10.26434/CHEMRXIV.12229232.V2,,,,,,,
Arch,BionoiNet,Network for binding site classification,,,,Structural,Computational,,,,Site,,,,0,1,0,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Shi, Wentao; Lemoine, Jeffrey M.; Shawky, Abd-El-Monsif A.; Singha, Manali; Pu, Limeng; Yang, Shuangyan; Ramanujam, J.; Brylinski, Michal",BionoiNet: ligand-binding site classification with off-the-shelf deep neural network,Bioinformatics,10.1093/bioinformatics/btaa094,,,,,,,
Arch,LSGN,Ligand shape generator network,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Skalic, Miha; Sabbadin, Davide; Sattarov, Boris; Sciabola, Simone; De Fabritiis, Gianni",From Target to Drug: Generative Modeling for the Multimodal Structure-Based Ligand Design,Molecular Pharmaceutics,10.1021/acs.molpharmaceut.9b00634,,,,,,,
Arch,GLSCN,Generated ligand shape captioning network,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Skalic, Miha; Sabbadin, Davide; Sattarov, Boris; Sciabola, Simone; De Fabritiis, Gianni",From Target to Drug: Generative Modeling for the Multimodal Structure-Based Ligand Design,Molecular Pharmaceutics,10.1021/acs.molpharmaceut.9b00634,,,,,,,
Arch,AtomNet,,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2015,"Wallach, Izhar; Dzamba, Michael; Heifets, Abraham",AtomNet: A Deep Convolutional Neural Network for Bioactivity Prediction in Structure-based Drug Discovery,,,,,,,,,
Arch,AlphaFold,AlphaFold protein structure prediction software,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2021,"Jumper, John; Evans, Richard; Pritzel, Alexander; Green, Tim; Figurnov, Michael; Ronneberger, Olaf; Tunyasuvunakool, Kathryn; Bates, Russ; Žídek, Augustin; Potapenko, Anna; Bridgland, Alex; Meyer, Clemens; Kohl, Simon A. A.; Ballard, Andrew J.; Cowie, Andrew; Romera-Paredes, Bernardino; Nikolov, Stanislav; Jain, Rishub; Adler, Jonas; Back, Trevor; Petersen, Stig; Reiman, David; Clancy, Ellen; Zielinski, Michal; Steinegger, Martin; Pacholska, Michalina; Berghammer, Tamas; Bodenstein, Sebastian; Silver, David; Vinyals, Oriol; Senior, Andrew W.; Kavukcuoglu, Koray; Kohli, Pushmeet; Hassabis, Demis",Highly accurate protein structure prediction with AlphaFold,Nature,10.1038/s41586-021-03819-2,,,,,,,
Arch,RoseTTAfold,,,,,Structural,Computational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2021,"Baek, Minkyung; DiMaio, Frank; Anishchenko, Ivan; Dauparas, Justas; Ovchinnikov, Sergey; Lee, Gyu Rie; Wang, Jue; Cong, Qian; Kinch, Lisa N.; Schaeffer, R. Dustin; Millán, Claudia; Park, Hahnbeom; Adams, Carson; Glassman, Caleb R.; DeGiovanni, Andy; Pereira, Jose H.; Rodrigues, Andria V.; Dijk, Alberdina A. van; Ebrecht, Ana C.; Opperman, Diederik J.; Sagmeister, Theo; Buhlheller, Christoph; Pavkov-Keller, Tea; Rathinaswamy, Manoj K.; Dalwadi, Udit; Yip, Calvin K.; Burke, John E.; Garcia, K. Christopher; Grishin, Nick V.; Adams, Paul D.; Read, Randy J.; Baker, David",Accurate prediction of protein structures and interactions using a three-track neural network,Science,10.1126/science.abj8754,,,,,,,
Arch,DeepFPMO,Deep fragment-based multiparameter optimization,,,,Nonstructural,,,,,,,,Both,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch,H_PCA-EELM,"Hierarchical PCA ensemble extreme learning machine. Uses sequence features + Dim Redux to predict PPI’s. 4 scores: Auto Covariance (AC), Conjoint triad (CT), Local descriptor (LD) and Moran autocorrelation (MAC).",,,,Nonstructural,Computational,,,,,,Graph,Both,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2013,"You, Zhu-Hong; Lei, Ying-Ke; Zhu, Lin; Xia, Junfeng; Wang, Bing",Prediction of protein-protein interactions from amino acid sequences with ensemble extreme learning machines and principal component analysis,BMC Bioinformatics,10.1186/1471-2105-14-S8-S10,,,,,,,
Arch,,,,,,Nonstructural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Baskin, Igor",The power of deep learning to ligand-based novel drug discovery,Expert Opinion on Drug Discovery,10.1080/17460441.2020.1745183,,,,,,,
Arch,,,,,,Nonstructural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Nigam, AkshatKumar; Friederich, Pascal; Krenn, Mario; Aspuru-Guzik, Alán",Augmenting Genetic Algorithms with Deep Neural Networks for Exploring the Chemical Space,arXiv:1909.11655 [physics],,,,,,,,
Arch,,,,,,Nonstructural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Grisoni, Francesca; Moret, Michael; Lingwood, Robin; Schneider, Gisbert",Bidirectional Molecule Generation with Recurrent Neural Networks,Journal of Chemical Information and Modeling,10.1021/acs.jcim.9b00943,,,,,,,
Arch,MolecGraph,Molecular graph,,,,Nonstructural,,,,,Molecule,,,,1,0,0,,0,,0,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,journalArticle,2019,"Kearnes, Steven; Li, Li; Riley, Patrick",Decoding Molecular Graph Embeddings with Reinforcement Learning,"arXiv:1904.08915 [cs, stat]",,,,,,,,
Arch,,,,,,Nonstructural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Zheng, Shuangjia; Yan, Xin; Gu, Qiong; Yang, Yuedong; Du, Yunfei; Lu, Yutong; Xu, Jun",QBMG: quasi-biogenic molecule generator with deep recurrent neural network,Journal of Cheminformatics,10.1186/s13321-019-0328-9,,,,,,,
Arch,MolecFuncGrps,,,,,Nonstructural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2019,"Pope, Phillip; Kolouri, Soheil; Rostrami, Mohammad; Martin, Charles; Hoffmann, Heiko",Discovering Molecular Functional Groups Using Graph Convolutional Neural Networks,"arXiv:1812.00265 [cs, stat]",,,,,,,,
Arch,SMILES_RNN,,,,,Nonstructural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Olivecrona, Marcus; Blaschke, Thomas; Engkvist, Ola; Chen, Hongming",Molecular de-novo design through deep reinforcement learning,Journal of Cheminformatics,10.1186/s13321-017-0235-x,,,,,,,
Arch,ORGANIC,,,,,Nonstructural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2017,"Sanchez-Lengeling, Benjamin; Outeiral, Carlos; Guimaraes, Gabriel L; Aspuru-Guzik, Alán",Optimizing distributions over molecular space. An Objective-Reinforced Generative Adversarial Network for Inverse-design Chemistry (ORGANIC),ChemRxiv,10.26434/chemrxiv.5309668.v3,,,,,,,
Arch,ChemTS,Combination Monte-Carlo tree search and RNN,,,,Nonstructural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://github.com/tsudalab/ChemTS,,,,,,journalArticle,2017,"Yang, Xiufeng; Zhang, Jinzhe; Yoshizoe, Kazuki; Terayama, Kei; Tsuda, Koji",ChemTS: an efficient python library for de novo molecular generation,Science and Technology of Advanced Materials,10.1080/14686996.2017.1401424,,,,,,,
Arch,EvoMol,,,,,Nonstructural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,,"Ingraham, John; Garg, Vikas; Barzilay, Regina; Jaakkola, Tommi",Generative Models for Graph-Based Protein Design,,,,,,,,,
