Type,Name,Method,Element type,Element ID,Reviewed in,Detail,Procurement,BM_type,Min_num_Fbs,Max_num_Fbs,Fundamental object,Num_Fund_objs,Form,Scale,Nonstructural,Structural,Dynamic,Energetic,Kinetic,Thermo,Quantum_dyn,Evolutionary,Topological,Functional,Complexation,Sidechain,Folded,Rot_inv,Trans_inv,Electrostatic,Hydrophobic,Van der Waals,Hbond,Salt bridge,Pi,Metal,Solvent,Solute,Trapped water,Pocket/void,Fixed_size,Hierarch,Unique,Subset_Unique,Differentiable,Reversible,Guarantee_Valid,Probabilistic,Ref_frames,Graph: Node/edge?,Toxological,Metabolic,Extens,ComputCostly,IndexInvar,Lin_comb,AG_layer,AugRatio,Implem,OSI_Avail,License,Docs,Webserver,Comment,Improv,Type,PubYr,Auth,Title,PubTitle,DOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,MWASES,Multiscale weighted algebraic subgraph eigenvalue statistics,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Vector,Both,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Duy Nguyen, Duc; Cang, Zixuan; Wei, Guo-Wei",A review of mathematical representations of biomolecular data,Physical Chemistry Chemical Physics,10.1039/C9CP06554G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,MWGSES,Multiscale weighted geometric subgraph eigenvalue statistics,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Vector,Both,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Duy Nguyen, Duc; Cang, Zixuan; Wei, Guo-Wei",A review of mathematical representations of biomolecular data,Physical Chemistry Chemical Physics,10.1039/C9CP06554G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,B_Void,Void barcode,,,,Structural,Computational,Protein,One,One,Protein,,Barcode,Both,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,,,0,,,,,,,,,,,,,,,,,THIS WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,B_Pocket,Pocket barcode,,,,Structural,Computational,Protein,One,One,Protein,,Barcode,Both,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,,,0,,,,,,,,,,,,,,,,,THIS WORK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,pKa_coord,pKa coordinates,,,,Structural,Computational,Molecule,One,Multiple,Atom,,Structure,Both,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2011,"Olsson, Mats H.M.; SØndergaard, Chresten R.; Rostkowski, Michal; Jensen, Jan H.",PROPKA3: Consistent treatment of internal and surface residues in empirical p K a predictions,Journal of Chemical Theory and Computation,10.1021/ct100578z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SSGT,Structural and sequence-based graph tensor,Figure,2,,Structural,Computational,Protein,One,Multiple,Protein,,Graph,Both,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Liu, Yi; Yuan, Hao; Cai, Lei; Ji, Shuiwang",Deep Learning of High-Order Interactions for Protein Interface Prediction,Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,10.1145/3394486.3403110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,LS,Latent space,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Latent space,Both,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Schiff, Yair; Chenthamarakshan, Vijil; Ramamurthy, Karthikeyan Natesan; Das, Payel",Characterizing the Latent Space of Molecular Deep Generative Models with Persistent Homology Metrics,"arXiv:2010.08548 [cs, q-bio]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,EPSContactGraph,Element-pair specific contact graph,,,,Structural,Computational,Molecule,One,Multiple,Atom,,Graph,Local,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2019,"Zheng, Liangzhen; Fan, Jingrong; Mu, Yuguang",OnionNet: A Multiple-Layer Intermolecular-Contact-Based Convolutional Neural Network for Protein-Ligand Binding Affinity Prediction,ACS Omega,10.1021/acsomega.9b01997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,PIP_GCN_Node,Node feature vector for protein interface prediction,,,,Structural,Computational,Protein,One,Multiple,Atom,,Graph,Local,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2017,"Fout, Alex; Byrd, Jonathon; Shariat, Basir; Ben-Hur, Asa",Protein Interface Prediction using Graph Convolutional Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,PIP_GCN_Edge,Edge feature vector for protein interface prediction,,,,Structural,Computational,Protein,One,Multiple,Atom,,Graph,Local,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,journalArticle,2017,"Fout, Alex; Byrd, Jonathon; Shariat, Basir; Ben-Hur, Asa",Protein Interface Prediction using Graph Convolutional Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,MID_EDF,Multiscale invariant dictionaries,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Continuous,Both,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2017,"Hirn, Matthew; Mallat, Stéphane; Poilvert, Nicolas",Wavelet Scattering Regression of Quantum Chemical Energies,Multiscale Modeling & Simulation,10.1137/16M1075454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,FD_EDF,Fourier coulomb matrix-derived dictionary,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Continuous,Both,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2017,"Hirn, Matthew; Mallat, Stéphane; Poilvert, Nicolas",Wavelet Scattering Regression of Quantum Chemical Energies,Multiscale Modeling & Simulation,10.1137/16M1075454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,WD_EDF,Wavelet coulomb matrix-derived dictionary,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Continuous,Both,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2017,"Hirn, Matthew; Mallat, Stéphane; Poilvert, Nicolas",Wavelet Scattering Regression of Quantum Chemical Energies,Multiscale Modeling & Simulation,10.1137/16M1075454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SD_EDF,Scattering coulomb matrix-derived dictionary,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Continuous,Both,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2017,"Hirn, Matthew; Mallat, Stéphane; Poilvert, Nicolas",Wavelet Scattering Regression of Quantum Chemical Energies,Multiscale Modeling & Simulation,10.1137/16M1075454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,PseAAC,Pseudo-Amino acid composition for fold classification,,,,Nonstructural,Computational,Protein,One,One,Amino acid,,Categorical,Both,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2009,"Li, Zhan-Chao; Zhou, Xi-Bin; Dai, Zong; Zou, Xiao-Yong",Prediction of protein structural classes by Chou’s pseudo amino acid composition: approached using continuous wavelet transform and principal component analysis,Amino Acids,10.1007/s00726-008-0170-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,DF_PPS,Density fingerprint of periodic point set,,,,Structural,Computational,Molecule,One,Multiple,Point set,,Continuous,Global,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,,,,,,,1,,,,,,0,0,0,1,,,1,,0,,,0,,?,,n,,,,,,,,journalArticle,2021,"Edelsbrunner, Herbert; Heiss, Teresa; Kurlin, Vitaliy; Smith, Philip; Wintraecken, Mathijs",The Density Fingerprint of a Periodic Point Set,"arXiv:2104.11046 [cs, math]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,LM,Laplacian matrix,,,,Structural,Computational,Molecule,One,Multiple,Atom,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,LMPE,Laplacian matrix eigenvalues,,,,Structural,Computational,Molecule,One,Multiple,Atom,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SLME,Sum of Laplacian matrix eigenvalues,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SADLME,Sum of absolute deviations of Laplacian matrix eigenvalues,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,LMSM,Laplacian matrix spectral moment,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,LMQWI,Laplacian matrix quasi-Wiener index,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,LMSTN,Laplacian matrix spanning tree number,,,,Structural,Computational,Molecule,One,Multiple,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SAC,Spectral algebraic connectivity,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SM,Spectral modularity,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SCC,Spectral Cheeger constant,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SV/EE,Spectral vertex-edge expansion,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SF,Spectral flow,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SRW,Spectral random walk,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SHK,Spectral heat kernel,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,1,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,CE,Cluster expansion,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,SF,Symmetry function,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,NHL,Normalized Hodge Laplacian,,,,Structural,Computational,Molecule,,,Molecule,,Continuous,,0,1,0,0,0,0,0,0,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2021,"Meng, Zhenyu; Xia, Kelin",Persistent spectral–based machine learning (PerSpect ML) for protein-ligand binding affinity prediction,Science Advances,10.1126/sciadv.abc5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,GMF,Standard graph molecular features (see Table S1). Separates covalent and noncovalent interactions and analyzes contributions from each? May be useful to dump graph embeddings into a feature? Predicts K_D (okay). Would be good to see which structures are predicted well for K_d and why other structures (more distant) are not predicted well. Will tuning certain hyperparameters influence this?,,,,Structural,Computational,Molecule,,,Atom,,Graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,journalArticle,2020,"Cho, Hyeoncheol; Lee, Eok Kyun; Choi, Insung S.",InteractionNet: Modeling and Explaining of Noncovalent Protein-Ligand Interactions with Noncovalent Graph Neural Network and Layer-Wise Relevance Propagation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,IGVAELSR,IG-VAE latent-space representation,,,,Structural,Computational,Protein,One,One,Atom,,Continuous,,0,1,0,0,0,0,0,0,0,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Eguchi, Raphael R.; Anand, Namrata; Choe, Christian A.; Huang, Po-Ssu",IG-VAE: Generative Modeling of Immunoglobulin Proteins by Direct 3D Coordinate Generation,bioRxiv,10.1101/2020.08.07.242347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Rama_vector,Ramachandran angles,,,,Structural,Both,Protein,One,Population,Amino acid,,Continuous,,0,1,0,1,1,1,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Eguchi, Raphael R.; Anand, Namrata; Choe, Christian A.; Huang, Po-Ssu",IG-VAE: Generative Modeling of Immunoglobulin Proteins by Direct 3D Coordinate Generation,bioRxiv,10.1101/2020.08.07.242347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,Dist_matrix,Distance matrix,,,,Structural,Computational,Protein,One,Multiple,Atom,,Continuous,,0,1,0,0,0,0,0,0,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Eguchi, Raphael R.; Anand, Namrata; Choe, Christian A.; Huang, Po-Ssu",IG-VAE: Generative Modeling of Immunoglobulin Proteins by Direct 3D Coordinate Generation,bioRxiv,10.1101/2020.08.07.242347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feature,DCO-VAE,Contact network representations,,,,Structural,Computational,Protein,One,Multiple,Amino acid,,Binary,,0,1,0,0,1,1,0,0,1,1,,,,,,0,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,journalArticle,2020,"Guo, Xiaojie; Tadepalli, Sivani; Zhao, Liang; Shehu, Amarda",Generating Tertiary Protein Structures via an Interpretative Variational Autoencoder,"arXiv:2004.07119 [cs, q-bio, stat]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
